adult_no,child_no,weekend_nights_no,weekday_nights_no,lead_time,avg_price_per_room,special_requests_no,month,prev_show_rate,canceled
2,0,0,2,182,117.9,2,9,0.5,1
2,0,1,0,1,127,1,6,0.5,0
2,0,0,3,122,116.1,2,6,0.5,0
2,0,2,3,40,117.9,1,6,0.5,0
2,2,2,2,116,184.24,1,6,0.5,1
3,0,2,2,123,155.7,1,8,0.5,0
3,0,2,5,40,135.76,0,4,0.5,1
2,1,2,5,105,102.83,3,11,0.5,0
2,0,0,1,443,65,0,4,0.5,1
2,0,2,3,2,103,1,11,0.5,0
2,0,0,3,317,106.2,1,9,0.5,1
2,0,0,2,286,58.5,0,9,0.5,0
2,0,1,3,68,73.95,0,3,0.5,1
2,0,0,3,148,105.3,0,5,0.5,0
3,0,2,0,68,133.2,2,4,0.5,0
2,0,0,2,30,85.5,0,3,0.5,0
1,0,0,1,14,112,1,11,0.5,1
2,2,0,2,110,190.8,0,10,0.5,1
1,0,2,3,117,110,0,6,0.5,0
2,0,1,4,85,91.48,1,7,0.5,0
2,0,0,2,1,135,2,10,0.5,0
1,0,1,2,25,129,2,10,0.5,0
2,0,2,4,289,70.55,2,12,0.5,1
2,0,1,4,28,75,0,10,0.5,0
1,0,0,4,80,72.25,0,3,0.5,0
2,0,0,1,11,155,2,10,0.5,0
2,1,1,0,162,121.5,2,7,0.5,1
2,0,2,5,155,90.95,2,6,0.5,0
1,0,2,2,82,109.65,0,5,0.5,0
3,0,2,4,27,142.72,0,4,0.5,1
1,0,1,2,13,90,0,5,0.5,0
2,0,0,2,245,75,0,6,0.5,1
2,0,0,2,11,111,1,11,0.5,1
2,0,2,2,266,86.7,2,10,0.5,0
2,0,1,0,39,117.9,1,3,0.5,0
1,0,0,2,13,0,1,6,0.63,0
2,0,0,4,112,101.58,1,5,0.5,0
2,0,1,2,88,58.9,1,4,0.5,0
2,0,0,1,56,120,0,6,0.5,0
2,0,2,3,73,107.1,0,4,0.5,1
2,0,1,1,80,126.9,1,5,0.5,0
2,0,0,3,130,139.5,2,9,0.5,1
2,0,1,3,69,80.75,1,4,0.5,0
2,0,0,2,273,109,0,7,0.5,1
2,0,0,1,55,104,0,4,0.5,0
1,0,0,3,4,65,1,11,0.83,0
2,0,0,3,97,140.4,0,5,0.5,0
2,0,0,3,44,75,0,2,0.5,0
2,0,0,1,31,94.5,0,4,0.5,1
2,0,1,0,0,109,0,6,0.5,0
2,0,2,2,62,105,2,11,0.5,0
2,0,2,2,86,107.95,1,4,0.5,0
3,0,2,2,3,215.6,1,10,0.5,0
2,0,1,1,197,85.5,1,8,0.5,0
2,0,0,2,143,105.3,2,7,0.5,0
1,0,2,1,23,1,0,1,0.5,0
2,0,0,2,8,156,0,6,0.5,1
1,0,0,2,13,73.15,1,11,0.5,0
2,0,1,2,280,110,0,9,0.5,1
2,1,1,0,11,87.4,1,9,0.5,0
2,0,0,2,317,120,0,9,0.5,1
2,0,1,2,185,79.2,0,12,0.5,1
2,0,1,3,160,90.95,1,6,0.5,0
2,0,0,4,104,91.48,1,10,0.5,0
2,1,0,1,11,150,1,11,0.5,1
2,0,0,1,2,89,0,3,0.5,0
2,0,1,4,14,91.43,1,8,0.5,0
2,0,0,2,22,140,0,5,0.5,0
1,1,2,5,37,87.78,0,10,0.5,0
2,0,0,2,292,115,0,7,0.5,1
2,0,0,3,11,80.85,1,9,0.5,0
2,0,1,3,86,82.45,1,3,0.5,0
2,0,0,1,109,108,0,10,0.5,1
2,0,1,1,72,96.3,1,4,0.5,0
2,0,1,5,196,99.45,0,8,0.5,1
2,0,0,2,56,140.4,1,5,0.5,0
2,0,1,3,189,72.25,0,8,0.5,0
2,0,1,4,126,126,0,8,0.5,0
2,0,2,3,303,78,0,8,0.5,1
1,0,2,2,81,146.6,1,11,0.5,0
2,0,1,2,54,118.8,0,10,0.5,1
1,0,0,1,15,145,0,10,0.5,1
2,0,0,4,86,84.58,0,4,0.5,1
2,0,1,2,161,130,0,3,0.5,1
2,0,4,10,147,118.88,1,8,0.5,1
2,0,1,2,92,101.52,0,5,0.5,0
2,0,0,1,87,100,0,9,0.5,1
2,0,2,1,109,58,0,3,0.5,0
2,0,0,4,127,61.5,2,3,0.5,0
2,0,1,2,418,107,0,9,0.5,1
2,0,1,4,156,87.3,1,8,0.5,0
2,0,0,2,80,76.5,1,7,0.5,1
2,0,2,2,211,63.75,0,12,0.5,1
2,0,1,2,273,95,0,5,0.5,1
2,0,2,1,58,75,1,11,0.5,0
2,0,0,3,433,70,0,9,0.5,1
2,0,1,3,111,101.58,1,5,0.5,0
2,0,2,3,34,85,0,8,0.5,0
2,0,2,4,17,98.39,0,12,0.5,0
1,0,0,0,4,0,1,2,0.5,0
2,0,0,3,6,106.07,1,9,0.5,0
2,0,1,1,32,105,1,7,0.5,0
2,0,0,1,4,145,2,9,0.5,0
3,0,2,1,195,106.03,1,8,0.5,1
2,0,2,2,119,114.3,1,8,0.5,0
1,0,1,1,13,88,0,12,0.5,0
2,0,0,2,59,89.25,2,10,0.5,0
2,1,2,5,78,86.32,1,3,0.5,0
2,0,0,3,335,90,1,10,0.5,0
2,0,2,5,103,55.96,0,8,0.5,0
1,0,0,2,0,109,1,6,0.5,0
2,0,0,1,118,86,0,3,0.5,0
2,0,1,5,56,118.95,0,9,0.5,0
2,0,0,2,107,130,1,6,0.5,0
2,0,1,3,70,90.56,1,4,0.5,0
2,0,0,2,76,87.3,1,4,0.5,0
2,2,2,2,144,177.65,1,5,0.5,1
1,2,2,2,4,200.75,2,9,0.5,0
2,1,0,2,15,127,1,3,0.5,0
1,0,1,2,32,72.9,0,2,0.5,1
3,0,1,1,49,159.3,0,5,0.5,1
2,1,1,3,77,135.15,1,5,0.5,0
1,0,0,2,22,90,0,10,0.5,0
2,0,1,0,0,114,0,10,0.5,0
2,1,0,1,58,125.1,1,6,0.5,0
2,0,2,6,4,95.13,1,8,0.5,0
2,0,0,2,117,105.84,0,4,0.5,1
2,0,1,3,36,102,0,12,0.5,1
2,0,2,2,35,74.8,2,12,0.5,0
2,0,1,0,31,94.5,0,4,0.5,1
2,0,2,4,79,120.6,0,6,0.5,0
2,0,1,2,1,139.33,0,10,0.5,0
2,0,0,2,21,105,0,9,0.5,0
2,0,0,2,12,100,1,9,0.5,0
2,0,1,0,33,80.3,1,2,0.5,0
1,0,0,2,164,100,0,10,0.5,0
2,0,0,3,78,105.3,1,3,0.5,0
2,0,0,4,18,112.8,0,5,0.5,1
2,0,1,2,21,151,0,8,0.5,1
1,0,1,3,0,91,1,11,0.5,0
3,0,2,1,152,146.7,1,8,0.5,1
2,0,2,3,43,58.4,0,10,0.5,0
2,0,0,4,177,80.75,1,7,0.5,1
2,0,1,1,47,76.5,0,5,0.5,0
3,0,0,3,57,140.13,0,9,0.5,0
2,0,2,4,60,76,1,11,0.5,0
2,0,0,1,0,200,0,9,0.5,0
2,0,0,2,102,101.5,0,10,0.5,1
2,0,0,3,71,108,1,10,0.5,0
3,0,2,3,111,189,1,7,0.5,0
3,0,1,1,1,166,3,6,0.5,0
2,0,1,1,4,67.5,0,1,0.5,0
2,0,1,3,25,78.54,1,9,0.5,0
1,0,2,2,209,152.1,1,11,0.5,1
1,0,2,1,93,115,0,10,0.5,1
2,0,2,5,53,66.53,2,9,0.5,0
1,0,0,2,1,0,1,8,1,0
1,0,2,1,4,0,1,8,0.5,0
2,0,0,3,302,90.3,2,12,0.5,1
2,0,0,2,122,85,0,4,0.5,0
1,0,0,1,16,75,0,3,0.5,0
2,0,2,4,28,115.37,1,8,0.5,1
2,0,1,2,161,130,0,3,0.5,1
3,0,0,2,57,126,2,12,0.5,0
2,0,1,0,19,94.35,1,6,0.5,0
3,0,2,4,109,118.46,4,7,0.5,0
1,0,0,2,239,90.6,0,6,0.5,1
1,0,2,1,33,82.9,2,3,0.5,0
2,0,0,3,11,95.33,1,8,0.5,0
3,0,2,5,40,135.64,1,4,0.5,0
3,0,1,1,45,122.4,0,6,0.5,0
2,0,1,3,41,116.1,0,5,0.5,1
2,0,0,4,167,62.18,0,6,0.5,1
2,0,0,4,62,63.75,0,3,0.5,1
1,0,1,4,113,118.8,0,9,0.5,1
2,0,0,2,1,167,0,8,0.5,0
2,2,2,2,84,187.85,1,5,0.5,0
0,2,2,2,68,108.38,1,4,0.5,1
2,0,0,1,9,0,1,9,1,0
3,0,1,2,245,128.7,0,10,0.5,1
2,0,1,3,80,80.33,1,3,0.5,0
2,0,1,1,7,140,1,8,0.5,1
2,1,1,1,128,76.5,2,8,0.5,0
2,0,2,1,100,105.3,1,5,0.5,0
2,0,2,1,118,87.3,1,4,0.5,1
1,0,0,3,166,110,0,11,0.5,1
1,0,0,1,41,83,0,9,0.5,0
2,0,2,2,174,99.45,1,8,0.5,0
2,1,2,1,27,104.5,3,12,0.5,0
2,0,2,6,2,92.54,2,11,0.5,0
1,0,0,3,37,95,0,10,0.5,0
1,0,0,2,188,130,0,6,0.5,1
2,0,2,1,68,63,1,1,0,0
2,0,1,2,189,109.8,0,10,0.5,1
2,0,1,0,10,103,0,5,0.5,0
3,0,2,1,19,130,1,2,0.5,0
2,0,0,2,61,117,0,3,0.5,1
2,0,0,4,95,60.5,0,12,0.5,0
2,0,0,1,83,112.2,0,9,0.5,0
2,0,1,3,37,135.9,0,8,0.5,1
2,0,1,0,19,151,1,7,0.5,1
2,2,0,2,22,239,2,9,0.5,0
2,0,2,1,22,59.09,0,12,0.5,0
2,0,2,5,151,103.09,0,7,0.5,1
2,0,2,1,26,87,0,2,0.5,0
3,0,1,0,27,137,0,4,0.5,1
2,0,0,2,79,109,0,6,0.5,0
2,0,1,1,247,115,1,6,0.5,1
2,0,2,3,189,99.45,1,7,0.5,0
2,0,0,2,320,115,1,8,0.5,1
3,0,1,2,27,130,2,2,0.5,0
1,0,1,0,51,65,0,5,1,0
2,0,0,2,245,75,0,6,0.5,1
2,1,1,2,52,132.9,0,7,0.5,1
1,0,2,0,13,120,0,10,0.5,0
2,0,0,2,46,79.2,1,11,0.5,1
3,0,2,1,84,159.3,0,8,0.5,1
1,0,0,2,188,130,0,6,0.5,1
2,0,0,3,19,90,0,10,0,0
2,0,0,2,67,140.4,1,5,0.5,0
2,0,0,1,0,75,0,8,0.5,0
2,0,0,2,273,109,0,7,0.5,1
2,0,2,1,110,94.5,0,7,0.5,1
1,0,0,1,0,75,0,12,1,0
2,0,1,2,32,75,1,10,0.5,0
2,0,2,1,282,76.67,0,10,0.5,0
2,0,2,2,38,126,0,10,0.5,0
2,0,1,1,175,85.5,1,7,0.5,0
2,0,0,3,143,140.7,0,8,0.5,1
2,0,2,2,127,103.7,1,6,0.5,0
1,0,0,1,0,142,0,9,0.5,0
2,1,2,5,95,103.7,3,12,0.5,0
1,0,1,2,118,110,0,6,0.5,0
2,0,0,3,45,75,0,11,0.5,0
3,0,1,1,69,137.7,0,7,0.5,0
2,0,0,1,57,87.3,3,9,0.5,0
1,0,0,2,5,0,4,8,1,0
2,0,0,2,39,101.5,0,8,0.5,0
2,0,0,1,0,97,1,2,0.5,0
3,0,1,1,89,150.3,1,8,0.5,0
2,0,0,4,85,82.45,0,3,0.5,0
1,0,0,1,4,103,1,7,1,0
1,0,2,6,11,145,0,7,0.5,1
1,0,1,1,12,145,1,7,0.5,0
2,0,2,2,77,134.85,1,5,0.5,0
2,1,1,1,14,168.25,1,10,0.5,0
1,0,2,1,1,60,0,2,0.5,1
2,0,1,3,133,76,0,6,0.5,0
2,0,1,2,3,63.5,1,8,0.5,0
2,0,2,0,19,95,0,9,0.5,0
2,0,2,2,86,90.95,3,9,0.5,0
2,0,0,2,23,98.4,2,10,0.5,0
2,0,0,1,65,135.9,1,9,0.5,0
2,0,0,2,1,130,1,11,0.5,0
2,0,0,1,66,81.9,2,11,0.5,0
3,0,1,4,50,78.85,1,2,0.5,0
2,0,2,3,87,141.3,0,6,0.5,1
2,0,1,1,159,70,1,4,0.5,0
2,0,2,3,39,170.1,2,8,0.5,0
2,0,2,0,386,115,1,10,0.5,1
2,2,0,5,22,199,0,12,0.5,0
2,0,2,2,102,82.45,0,7,0.5,0
4,0,0,3,86,192.86,1,10,0.5,0
2,0,2,2,56,185,0,9,0.5,0
2,0,2,6,36,68.07,1,12,0.5,0
2,0,0,3,50,118.8,1,10,0.5,0
2,0,0,2,115,104.4,0,10,0.5,1
1,0,0,1,0,65,0,3,1,0
2,0,1,3,35,71.1,0,3,0.5,1
2,0,2,1,17,95,0,5,0.5,0
2,0,4,11,237,116.62,1,9,0.5,1
2,0,0,4,125,136,2,9,0.5,0
2,2,2,2,32,147.9,0,12,0.5,1
2,0,2,0,5,123.7,0,9,0.5,0
2,0,2,1,91,135.9,0,6,0.5,1
2,0,0,2,102,109,0,10,0.5,0
3,0,2,1,9,186,1,3,0.5,0
3,0,1,3,155,115.6,1,12,0.5,1
2,2,0,1,0,221,0,5,0.5,1
1,0,0,3,11,65,0,9,0.5,0
1,0,0,1,0,80,0,2,0.5,0
2,1,1,4,86,73.83,0,3,0.5,0
1,0,0,1,18,67,0,10,0.86,0
2,0,0,2,58,80.3,1,3,0.5,0
2,0,2,1,54,85,0,4,0.5,0
2,1,2,3,25,152.1,1,7,0.5,1
2,0,0,2,107,89.25,1,9,0.5,0
1,0,0,4,100,110,0,9,0.5,0
2,0,1,2,273,95,0,5,0.5,1
2,0,0,1,29,79,0,3,0.5,0
2,0,0,1,221,80,0,8,0.5,1
2,0,2,2,213,102.85,2,10,0.5,1
2,0,1,2,198,90,0,9,0.5,1
2,0,1,2,81,62.37,2,1,0.5,0
2,0,0,1,23,98,0,4,0.5,0
2,0,0,3,26,117.67,1,9,0.5,1
2,0,2,1,20,141,1,6,0.5,0
2,1,1,3,124,156.61,2,12,0.5,1
3,0,0,3,85,152.1,0,8,0.5,1
2,0,0,1,167,105.3,0,8,0.5,1
2,0,1,3,71,119.85,1,5,0.5,0
2,0,0,2,48,97.2,2,11,0.5,0
1,0,0,1,37,116.1,0,5,0.5,0
3,0,2,2,76,150.45,0,5,0.5,1
1,0,0,1,13,71,0,1,0.5,0
1,0,1,0,3,0,0,6,0.5,0
2,0,1,2,75,60,0,12,0.5,0
1,0,0,1,5,89,1,4,1,0
2,0,2,0,386,115,1,10,0.5,1
2,0,1,1,180,100,1,5,0.5,0
2,0,1,3,122,75.9,2,11,0.5,1
2,0,1,2,224,65,0,10,0.5,0
2,0,2,2,24,104.55,2,5,0.5,0
1,0,2,2,162,115,0,10,0.5,1
3,0,1,1,25,187,0,7,0.5,1
1,0,0,1,1,115,0,8,0.5,0
2,0,0,4,236,84.43,1,9,0.5,1
2,0,2,3,120,90.95,0,4,0.5,1
2,0,1,3,12,208,1,3,0.5,0
2,0,2,4,224,97.18,1,9,0.5,1
1,0,0,4,33,79.11,0,10,0.5,0
2,0,0,2,24,0,0,5,0.5,0
2,0,0,1,22,120,1,9,0.5,0
2,0,0,3,10,126,1,10,0.5,0
2,0,0,2,15,91,1,2,0.5,1
2,0,0,5,230,137,0,9,0.5,1
2,0,0,4,54,67.32,0,3,0.5,0
2,0,0,1,45,81.62,0,10,0.5,0
3,0,1,3,63,123.66,2,10,0.5,0
2,0,2,1,166,94.5,1,8,0.5,0
2,0,1,4,148,96.3,0,8,0.5,1
2,0,2,1,136,88.01,1,8,0.5,0
2,0,1,3,37,81.9,2,3,0.5,0
2,0,0,4,66,119.85,1,5,0.5,0
1,0,0,1,11,83.5,0,10,0.5,0
1,0,0,1,1,67,1,4,1,0
2,0,2,2,7,156,1,6,0.5,0
2,0,0,1,43,85,0,10,0.5,0
2,0,3,5,5,126.75,0,4,0.5,1
2,0,1,1,247,115,1,6,0.5,1
2,0,2,1,24,107.1,1,10,0.5,1
1,0,0,1,53,120,0,10,0.5,0
2,0,2,1,52,93.6,2,11,0.5,0
2,0,0,1,56,120,0,6,0.5,0
1,0,0,1,12,90,1,6,0.5,0
2,0,0,5,230,137,1,9,0.5,1
2,1,1,3,92,106.43,1,10,0.5,1
1,0,0,3,2,87.78,0,5,0.5,0
2,0,0,2,74,101.5,0,9,0.5,0
2,0,0,1,82,85.5,0,6,0.5,1
1,0,0,3,37,95,0,10,0.5,0
2,0,2,2,147,103.7,2,7,0.5,0
1,0,0,1,2,65,0,8,0.5,0
2,0,2,6,166,100.12,0,8,0.5,1
2,0,1,3,28,156.25,2,4,0.5,0
2,0,1,2,309,101,0,5,0.5,1
2,0,1,3,54,161.1,0,7,0.5,0
2,0,1,3,49,83.8,2,12,0.5,0
2,1,0,1,1,168,2,6,0.5,0
2,0,2,1,0,58,0,12,0.5,0
2,0,2,1,4,94.5,0,8,0.5,0
2,0,0,4,60,96.3,1,12,0.5,0
2,0,0,1,157,76.5,1,8,0.5,0
2,0,2,3,268,78,0,4,0.5,0
2,0,1,1,38,112.59,0,9,0.5,1
2,2,2,1,30,187.04,0,6,0.5,1
2,0,0,1,2,169,2,10,0.5,0
2,0,3,7,217,46.63,1,12,0.5,0
2,0,0,3,143,100,0,8,0.5,0
2,0,0,3,179,85.5,2,10,0.5,0
1,0,0,2,188,130,0,6,0.5,1
3,0,2,2,94,146.7,1,7,0.5,0
1,0,0,2,32,73,0,11,0.5,0
3,0,2,2,2,143.22,2,4,0.5,0
2,0,0,3,70,89.25,1,10,0.5,0
2,0,1,0,4,85,0,9,0.5,0
2,0,2,0,34,6.5,1,2,0.5,0
2,2,0,1,16,83.03,0,3,0.5,1
2,0,1,3,24,91,0,2,0.5,1
2,0,2,2,78,80.75,1,4,0.5,0
2,0,1,2,305,89,0,11,0.5,1
2,0,0,3,37,105,0,10,0.5,0
2,0,2,5,98,109.81,0,4,0.5,0
2,0,1,3,14,70.88,0,12,0.5,0
1,0,0,2,44,83.6,2,11,0.5,0
1,0,2,1,1,60,0,2,0.5,1
2,0,0,3,213,130,0,6,0.5,1
1,0,1,1,5,95,1,4,0.5,0
2,0,0,1,55,104,0,4,0.5,0
2,0,0,3,139,62,1,2,0.5,0
2,0,2,1,44,95,0,4,0.5,0
1,0,2,1,18,145,1,2,0.5,0
1,0,1,0,0,95,0,10,0.5,0
1,0,0,2,192,95,0,6,0.5,0
2,0,2,4,152,80.75,0,6,0.5,0
3,0,0,4,42,142.2,2,8,0.5,0
3,0,2,3,209,128.7,1,10,0.5,1
2,0,2,3,69,90.95,1,3,0.5,0
2,0,1,2,80,93.6,2,11,0.5,0
2,0,1,2,49,60,0,11,0.5,0
1,0,0,3,143,90,0,8,0.5,0
2,0,2,1,67,95.4,2,12,0.5,0
2,0,0,2,41,160,1,10,0.5,1
2,0,2,1,154,104.1,2,10,0.5,1
2,0,0,1,55,104,0,4,0.5,0
2,0,0,4,2,109,0,8,0.5,0
2,0,2,4,99,93.78,1,4,0.5,1
1,0,0,2,14,95,0,10,0.5,0
1,0,0,1,0,140,0,10,0.5,0
2,0,1,3,22,87,1,12,0.5,0
1,0,2,1,7,85.85,1,3,0.5,0
2,0,1,3,84,99.45,0,3,0.5,0
2,0,0,4,109,120.28,1,5,0.5,0
1,0,0,3,71,120,0,6,0.5,0
2,0,2,0,4,77.77,1,4,0.5,0
1,0,0,3,71,120,0,6,0.5,0
2,0,0,1,58,116.1,1,6,0.5,0
3,0,0,1,133,189,0,7,0.5,1
2,0,2,1,27,152.67,0,6,0.5,1
2,0,2,3,27,66.31,1,2,0.5,0
1,0,0,1,9,95,2,9,0.5,0
2,1,0,3,86,122,0,12,0.5,1
2,0,0,3,13,58,0,12,0.5,0
2,0,1,3,0,89.89,1,12,0.5,0
2,0,0,2,5,156,1,6,0.5,0
2,0,1,3,82,99.45,0,3,0.5,0
2,1,0,2,330,172.8,0,8,0.5,1
2,0,1,3,3,98.56,1,8,0.5,0
1,0,0,1,35,71.1,0,3,0.5,1
1,0,6,15,12,128.06,0,3,0.5,1
1,0,0,1,0,0,0,11,0.5,0
2,1,0,1,7,106,1,4,0.5,0
2,0,0,4,47,130.61,1,9,0.5,1
2,0,2,3,117,105.74,1,6,0.5,0
2,0,0,2,2,136,1,6,0.5,0
2,0,0,1,26,120,0,6,0.5,0
2,0,2,2,75,74.8,1,12,0.5,0
2,0,0,2,256,112,1,6,0.5,1
2,1,1,0,137,121.5,2,8,0.5,0
2,0,0,4,92,70,0,10,0.5,0
1,0,0,1,1,75,0,11,0.5,0
2,0,0,1,18,54,0,1,0.5,0
2,0,1,2,78,100,0,3,0.5,1
1,0,0,1,8,0,2,4,0.5,0
1,2,4,9,30,186.22,0,11,0.5,1
2,0,2,0,117,79.2,0,11,0.5,0
2,0,1,1,10,103,0,3,0.5,0
2,0,2,2,56,185,0,9,0.5,0
2,0,0,2,8,135,1,10,0.5,0
2,0,2,0,386,115,1,10,0.5,1
2,0,0,2,273,109,0,7,0.5,1
2,0,0,1,33,104,1,11,0.5,1
3,0,2,5,184,130.05,3,8,0.5,0
2,0,1,3,232,100.3,0,9,0.5,1
1,0,0,2,188,130,0,6,0.5,1
2,0,0,2,102,109,0,10,0.5,0
2,0,2,2,45,139.5,1,10,0.5,1
1,0,0,1,1,66,1,2,0.5,0
2,0,2,2,63,106.88,2,9,0.5,0
2,0,2,2,89,149.4,1,9,0.5,0
1,0,0,2,63,109.35,2,4,0.5,0
2,0,0,3,304,89,0,11,0.5,1
1,0,2,1,1,115,1,4,0.5,0
1,0,0,1,51,85.5,0,3,0.5,0
2,0,0,2,110,90.95,0,4,0.5,0
2,0,2,1,20,117.55,1,7,0.5,0
2,0,0,1,50,108,1,10,0.5,1
2,0,0,3,48,139.5,1,10,0.5,0
2,0,0,3,96,129.88,0,9,0.5,1
2,0,1,4,148,67,0,12,0.5,0
2,0,1,1,25,129,1,10,0.5,1
2,0,2,5,148,79.53,0,6,0.5,1
2,0,1,3,114,72.25,0,8,0.5,0
1,0,0,2,257,80,0,7,0.5,0
2,0,2,5,105,119.85,2,6,0.5,0
1,0,1,2,4,117,0,11,0.5,0
2,0,2,2,67,29,1,9,0.5,0
2,0,2,2,61,118.8,1,9,0.5,0
2,0,0,2,79,192.03,1,12,0.5,0
3,0,0,1,74,168.3,2,5,0.5,0
2,0,0,1,120,72.76,0,5,0.5,0
2,0,0,3,157,68,0,12,0.5,0
2,0,0,4,4,89,0,1,0.5,0
2,0,2,5,46,124.46,0,8,0.5,0
1,0,2,1,41,70.33,0,3,0.5,0
3,0,1,4,84,170.1,2,6,0.5,0
2,0,0,2,245,75,0,6,0.5,1
2,0,0,3,27,125.25,1,6,0.5,0
2,0,3,7,74,55.9,0,7,0.5,0
2,0,1,2,85,126.9,0,6,0.5,1
2,0,0,2,6,79,0,2,0.5,1
2,0,2,3,256,94.35,2,10,0.5,1
